[2023-06-09 12:38:27,668][root][INFO] - Logger initialized
[2023-06-09 12:38:39,659][root][INFO] - Found 972 patients in this dataset
[2023-06-09 12:42:08,581][root][INFO] - Basic Split: 972 samples
[2023-06-09 12:42:08,605][root][INFO] - Train set has 786 samples, val has 88 samples, test has 98 samples
[2023-06-09 12:42:08,621][root][INFO] - 	[786] defaultdict(<class 'int'>, {1: 396, 0: 390})
[2023-06-09 12:42:08,637][root][INFO] - 	[88] defaultdict(<class 'int'>, {0: 44, 1: 44})
[2023-06-09 12:42:08,638][root][INFO] - 	[98] defaultdict(<class 'int'>, {0: 52, 1: 46})
[2023-06-09 12:42:08,795][root][INFO] - Train task initialized
[2023-06-09 12:42:08,796][root][INFO] - Starting training task...
[2023-06-09 12:42:08,796][root][INFO] - Doing a basic split...
[2023-06-09 13:09:47,056][root][INFO] - Epoch [34/200] Train Accuracy: 57.13%, Val Accuracy: 53.41%, Train Loss: 0.6824, Val Loss: 0.6897
[2023-06-09 13:10:35,749][root][INFO] - Epoch [35/200] Train Accuracy: 57.54%, Val Accuracy: 50.00%, Train Loss: 0.6783, Val Loss: 0.7089
[2023-06-09 13:11:24,430][root][INFO] - Epoch [36/200] Train Accuracy: 61.97%, Val Accuracy: 62.50%, Train Loss: 0.6578, Val Loss: 0.6535
[2023-06-09 13:12:13,036][root][INFO] - Epoch [37/200] Train Accuracy: 56.75%, Val Accuracy: 50.00%, Train Loss: 0.6793, Val Loss: 0.7151
[2023-06-09 13:13:01,719][root][INFO] - Epoch [38/200] Train Accuracy: 59.30%, Val Accuracy: 50.00%, Train Loss: 0.6646, Val Loss: 0.7007
[2023-06-09 13:13:50,329][root][INFO] - Epoch [39/200] Train Accuracy: 63.13%, Val Accuracy: 50.00%, Train Loss: 0.6510, Val Loss: 0.7124
[2023-06-09 13:14:39,054][root][INFO] - Epoch [40/200] Train Accuracy: 62.10%, Val Accuracy: 50.00%, Train Loss: 0.6583, Val Loss: 0.7215
[2023-06-09 13:15:27,652][root][INFO] - Epoch [41/200] Train Accuracy: 63.00%, Val Accuracy: 48.86%, Train Loss: 0.6475, Val Loss: 0.7212
[2023-06-09 13:16:16,330][root][INFO] - Epoch [42/200] Train Accuracy: 63.49%, Val Accuracy: 61.36%, Train Loss: 0.6426, Val Loss: 0.7061
[2023-06-09 13:17:04,946][root][INFO] - Epoch [43/200] Train Accuracy: 64.52%, Val Accuracy: 64.77%, Train Loss: 0.6369, Val Loss: 0.6310
